SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_10009,1_10009_u,"Let the dead man talk. So, why do you think that?",0:05,PENNY,BBT,0.0,NONE,Happiness,Happiness,6.0,5.0
1_1001,1_1001_u,"What else? Sell it on eBay as ""slightly used.""",0:04,RAJ,BBT,0.0,NONE,Excitement,Excitement,6.0,5.0
1_1003,1_1003_u,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",0:08,HOWARD,BBT,1.0,PRO,Anger,Sadness,3.0,6.0
1_10462,1_10462_u,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",0:09,HOWARD,BBT,1.0,PRO,Disgust,Excitement,4.0,6.0
1_10495,1_10495_u,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",0:07,AMY,BBT,1.0,ILL,Disgust,Neutral,3.0,7.0
1_10748,1_10748_u,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",0:07,AMY,BBT,1.0,PRO,Disgust,Sadness,3.0,7.0
1_10797,1_10797_u,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",0:07,AMY,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_10849,1_10849_u,That's how much buying a comic book store means to me.,0:05,HOWARD,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_10853,1_10853_u,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0:05,PENNY,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_10857,1_10857_u,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,0:07,RAJ,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_10859,1_10859_u,I don't need a reason-- it's my house.,0:03,HOWARD,BBT,0.0,NONE,Frustration,Frustration,4.0,5.0
1_10890,1_10890_u,"Boy, when you met Bernadette, the field of robotics really took a hit.",0:06,RAJ,BBT,1.0,PRO,Disgust,Happiness,3.0,6.0
1_10977,1_10977_u,Let's not talk about this in front of our friends.,0:04,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
1_11006,1_11006_u,Maybe it's a good thing we came here. It's like a lesson in what not to do.,0:04,PENNY,BBT,1.0,PRO,Disgust,Happiness,3.0,6.0
1_11021,1_11021_u,"Same as all of us, getting out of a car without underwear.",0:05,PENNY,BBT,1.0,PRO,Ridicule,Neutral,4.0,6.0
1_11046,1_11046_u,"Wow, he really went where no man has gone before.",0:05,HOWARD,BBT,0.0,NONE,Happiness,Surprise,6.0,6.0
1_11051,1_11051_u,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",0:07,PERSON,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_11055,1_11055_u,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",0:12,LEONARD,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
1_11201,1_11201_u,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0:07,AMY,BBT,0.0,NONE,Fear,Fear,4.0,6.0
1_11224,1_11224_u,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,0:1,HOWARD,BBT,1.0,EMB,Sadness,Sadness,3.0,8.0
1_11243,1_11243_u,I love that you're too good to pee in the kitchen sink.,0:05,HOWARD,BBT,1.0,PRO,Anger,Happiness,3.0,7.0
1_11257,1_11257_u,Doesn't Professor Abbott's family want any of this stuff?,0:04,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
1_11306,1_11306_u,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0:15,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_11322,1_11322_u,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",0:06,PENNY,BBT,1.0,PRO,Disgust,Happiness,4.0,7.0
1_11378,1_11378_u,Are you sure a dummy like me can handle something as complicated as a blanket?,0:06,HOWARD,BBT,1.0,LIK,Anger,Neutral,4.0,6.0
1_11439,1_11439_u,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",0:07,PENNY,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
1_11485,1_11485_u,Is that why you had to take him to Office Depot last night?,0:04,PENNY,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_11609,1_11609_u,"I've, uh, created some other user accounts so I can post positive comments about their paper.",0:06,RAJ,BBT,0.0,NONE,Happiness,Happiness,6.0,5.0
1_11697,1_11697_u,The answer's in this puzzle box. Let's see if you can open it.,0:05,PENNY,BBT,1.0,ILL,Anger,Happiness,3.0,8.0
1_11699,1_11699_u,"No, Stuart picked out those throw pillows all on his own.",0:04,RAJ,BBT,1.0,PRO,Ridicule,Sadness,4.0,7.0
1_11723,1_11723_u,"Not much, but he seemed to be in a pretty good place.",0:04,RAJ,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
1_11736,1_11736_u,"I don't know, perhaps somebody took it off the carousel by mistake?",0:03,PERSON,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_11773,1_11773_u,This is why I've been saying we should keep champagne on ice.,0:06,PENNY,BBT,1.0,PRO,Sadness,Excitement,2.0,8.0
1_1185,1_1185_u,I think tonight was a very good start.,0:03,LEONARD,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_11885,1_11885_u,"Yeah, turns out half a dozen menorahs really sets a mood.",0:05,PERSON,BBT,1.0,PRO,Ridicule,Neutral,4.0,6.0
1_11913,1_11913_u,It's why my people wandered the desert for 40 years. Took that long to walk it off.,0:07,HOWARD,BBT,1.0,PRO,Ridicule,Sadness,4.0,6.0
1_11924,1_11924_u,"All right, Amy's in charge of pricing and being 75.",0:05,HOWARD,BBT,1.0,PRO,Ridicule,Neutral,4.0,6.0
1_11928,1_11928_u,"And if I had a friend, they might have told me that.",0:04,AMY,BBT,0.0,NONE,Sadness,Sadness,4.0,3.0
1_12083,1_12083_u,"Oh, just put it in your mouth and pop it like a zit.",0:04,HOWARD,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_12202,1_12202_u,"No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",0:06,LEONARD,BBT,1.0,PRO,Sadness,Neutral,3.0,7.0
1_12275,1_12275_u,"Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice.",0:08,PERSON,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_12320,1_12320_u,"Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.",0:11,RAJ,BBT,0.0,NONE,Fear,Fear,3.0,8.0
1_12331,1_12331_u,"Wow, there's a Denny's in Vegas you can actually get married in.",0:04,PENNY,BBT,0.0,NONE,Surprise,Surprise,6.0,6.0
1_1296,1_1296_u,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",0:06,HOWARD,BBT,1.0,EMB,Frustration,Surprise,3.0,7.0
1_1470,1_1470_u,I don't know. It just died. I'm getting a bunch of static.,0:03,PENNY,BBT,0.0,NONE,Sadness,Sadness,3.0,6.0
1_1478,1_1478_u,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",0:11,HOWARD,BBT,1.0,EMB,Sadness,Happiness,2.0,6.0
1_1549,1_1549_u,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,0:05,HOWARD,BBT,1.0,PRO,Disgust,Neutral,2.0,8.0
1_162,1_162_u,"Sheldon, if you were a robot, and I knew and you didn't...",0:06,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_1627,1_1627_u,"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",0:08,PERSON,BBT,0.0,NONE,Excitement,Excitement,6.0,7.0
1_1638,1_1638_u,The blunt instrument that will be the focus of my murder trial?,0:04,LEONARD,BBT,1.0,PRO,Frustration,Neutral,3.0,8.0
1_1666,1_1666_u,Would it work if I just punched you in the face?,0:03,LEONARD,BBT,0.0,NONE,Frustration,Frustration,3.0,7.0
1_1678,1_1678_u,Answering the question once and for all why Wolowitz bailed out of medical school.,0:05,RAJ,BBT,0.0,NONE,Disgust,Disgust,3.0,6.0
1_1732,1_1732_u,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,0:06,PERSON,BBT,1.0,ILL,Ridicule,Surprise,3.0,8.0
1_1772,1_1772_u,"""Dave."" Sounds like Leonard's got a new BFF.",0:05,HOWARD,BBT,1.0,PRO,Anger,Excitement,3.0,8.0
1_1798,1_1798_u,"If you don't like this stuff, let's go next door and build her a bear.",0:04,RAJ,BBT,1.0,PRO,Anger,Sadness,3.0,7.0
1_1803,1_1803_u,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",0:06,LEONARD,BBT,1.0,PRO,Sadness,Neutral,2.0,7.0
1_1931,1_1931_u,Why don't you just lie down on the floor and swim there?,0:05,LEONARD,BBT,1.0,PRO,Disgust,Neutral,4.0,6.0
1_1973,1_1973_u,I hope I'm a waitress at the Cheesecake Factory for my whole life.,0:05,PENNY,BBT,1.0,PRO,Frustration,Happiness,4.0,7.0
1_1987,1_1987_u,"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",0:06,PENNY,BBT,1.0,EMB,Sadness,Happiness,4.0,6.0
1_2075,1_2075_u,There's no hurry. Tell them more about their secret love for each other.,0:04,LEONARD,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_2119,1_2119_u,"Kind of makes you feel more alive, doesn't it?",0:04,PERSON,BBT,1.0,PRO,Disgust,Excitement,3.0,8.0
1_2216,1_2216_u,"Excuse me, but what about me? Why don't I get a shot?",0:04,LEONARD,BBT,0.0,NONE,Surprise,Surprise,6.0,7.0
1_2361,1_2361_u,Thank you so much for giving me the opportunity to help.,0:04,LEONARD,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_2420,1_2420_u,You know this can go on all night. Why don't you just come with us?,0:04,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_2464,1_2464_u,"You think ""coffee,"" means coffee. That is so sweet.",0:04,PENNY,BBT,1.0,PRO,Frustration,Happiness,4.0,7.0
1_2580,1_2580_u,"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",0:06,HOWARD,BBT,1.0,PRO,Frustration,Excitement,3.0,7.0
1_2614,1_2614_u,Hardly a day goes by when I don't think about it.,0:04,LEONARD,BBT,1.0,PRO,Frustration,Neutral,4.0,6.0
1_2616,1_2616_u,"Sure, maybe a tableau of me trying to pummel you to death.",0:05,LEONARD,BBT,1.0,PRO,Frustration,Excitement,3.0,8.0
1_2664,1_2664_u,"Terrific, it's just that... I don't think Penny wants me to go.",0:05,LEONARD,BBT,0.0,NONE,Sadness,Sadness,3.0,7.0
1_2669,1_2669_u,What did you mean when you said you were going to miss me?,0:04,LEONARD,BBT,0.0,NONE,Surprise,Surprise,6.0,6.0
1_276,1_276_u,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",0:08,LEONARD,BBT,1.0,PRO,Frustration,Neutral,3.0,8.0
1_2778,1_2778_u,"Ooh, big talk from a man who was once treed by a chicken.",0:05,RAJ,BBT,1.0,PRO,Disgust,Neutral,2.0,8.0
1_2792,1_2792_u,"No, I mean, we can always go back to being friends.",0:03,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_2830,1_2830_u,"No, I'm behind on my Wiki-reading. I'm kind of on a John Grisham kick right now.",0:06,RAJ,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
